sampleId	seedInit	solverName	signifDigits	piHat	OFtol	error	isCensored	numThrows	runtime
163	39938	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1432
164	24279	Needles_3	3	3.142	0.0005	0.000485302926261	False	517	0.3153
165	41443	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1429
166	9364	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1411
167	43620	Needles_3	3	3.141	0.0005	0.000307333048419	False	3151	1.7206
168	24529	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1441
169	7190	Needles_3	3	3.142	0.0005	0.000493167721117	False	1033	0.5695
170	51676	Needles_3	3	3.142	0.0005	0.000490544427102	False	775	0.4392
171	17387	Needles_3	3	3.142	0.0005	0.00022668504433	False	801	0.443
172	8839	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1468
173	51641	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1463
174	19672	Needles_3	3	3.141	0.0005	0.000471022947286	False	2637	1.44
175	25187	Needles_3	3	3.142	0.0005	0.000497893930224	False	2581	1.4069
176	6688	Needles_3	3	3.142	0.0005	0.000494742512425	False	1291	0.697
177	58620	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1444
178	9820	Needles_3	3	3.141	0.0005	0.000495387837379	False	588	0.3261
179	23356	Needles_3	3	3.142	0.0005	0.000495792713058	False	1549	0.8713
180	46992	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1465
181	4891	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1413
182	31029	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1518
183	35089	Needles_3	3	3.141	0.0005	0.00026993405368	False	855	0.4682
184	23048	Needles_3	3	3.142	0.0005	0.000173054114185	False	1613	0.8823
185	4884	Needles_3	3	3.142	0.0005	8.89892752154e-05	False	3338	1.8368
186	45832	Needles_3	3	3.141	0.0005	0.000434161451675	False	583	0.3165
187	5784	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1708
188	13262	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1426
189	7756	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1449
190	45951	Needles_3	3	3.142	0.0005	0.000490544427102	False	775	0.4208
191	18532	Needles_3	3	3.142	0.0005	0.000490544427102	False	775	0.4322
192	40841	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1418
193	59418	Needles_3	3	3.142	0.0005	0.000485302926261	False	517	0.283
194	25266	Needles_3	3	3.141	0.0005	0.000178355068676	False	563	0.3088
195	18492	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1405
196	49285	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1413
197	14548	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.1505
198	12791	Needles_3	3	3.142	0.0005	0.000485302926261	False	517	0.2908
199	65375	Needles_3	3	3.142	0.0005	0.000497105846265	False	2065	1.1366
200	16873	Needles_3	3	3.142	0.0005	0.000469619003099	False	259	0.143
201	42602	Needles_3	4	3.1416	5e-05	3.97913642298e-05	False	547	0.323
202	15697	Needles_3	4	3.1416	5e-05	4.75959389741e-05	False	2459	1.4402
203	31753	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1878
204	51744	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1677
205	40077	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.157
206	38573	Needles_3	4	3.1416	5e-05	1.1641230762e-05	False	7985	4.363
207	44910	Needles_3	4	3.1416	5e-05	3.97913642298e-05	False	547	0.3012
208	38471	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1532
209	17244	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1514
210	13604	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1526
211	65405	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.154
212	24490	Needles_3	4	3.1416	5e-05	4.98287402415e-05	False	1912	1.0915
213	35016	Needles_3	4	3.1416	5e-05	1.59358552128e-05	False	2204	1.2666
214	57009	Needles_3	4	3.1416	5e-05	3.97913642298e-05	False	547	0.2967
215	52250	Needles_3	4	3.1416	5e-05	3.97913642298e-05	False	547	0.3007
216	63896	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.158
217	15508	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1507
218	27242	Needles_3	4	3.1416	5e-05	4.44722008672e-05	False	820	0.4516
219	22700	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1519
220	36510	Needles_3	4	3.1416	5e-05	4.82209922446e-05	False	1366	0.7489
221	8849	Needles_3	4	3.1416	5e-05	3.97913642298e-05	False	547	0.2993
222	49524	Needles_3	4	3.1416	5e-05	3.97913642298e-05	False	547	0.3013
223	12320	Needles_3	4	3.1416	5e-05	4.91587632987e-05	False	3278	1.8232
224	3331	Needles_3	4	3.1416	5e-05	4.68147657022e-05	False	1093	0.5937
225	59990	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1501
226	10791	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1524
227	44459	Needles_3	4	3.1416	5e-05	3.97913642298e-05	False	547	0.3008
228	53087	Needles_3	4	3.1416	5e-05	4.68147657022e-05	False	1093	0.609
229	32	Needles_3	4	3.1416	5e-05	4.91587632987e-05	False	1639	0.9642
230	48599	Needles_3	4	3.1416	5e-05	4.68147657022e-05	False	1093	0.6552
231	57688	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1482
232	51105	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1538
233	11751	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1479
234	12130	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1514
235	27955	Needles_3	4	3.1416	5e-05	4.91587632987e-05	False	1639	0.9755
236	25690	Needles_3	4	3.1416	5e-05	4.82209922446e-05	False	2732	1.5789
237	14543	Needles_3	4	3.1416	5e-05	3.08434193208e-05	False	13802	7.6887
238	21967	Needles_3	4	3.1416	5e-05	4.91587632987e-05	False	1639	0.8895
239	26379	Needles_3	4	3.1416	5e-05	4.82209922446e-05	False	1366	0.802
240	18166	Needles_3	4	3.1416	5e-05	4.9405583288e-05	False	5190	2.8778
241	32233	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.153
242	37554	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1474
243	45073	Needles_3	4	3.1416	5e-05	4.95561931215e-05	False	16116	8.867
244	25927	Needles_3	4	3.1416	5e-05	4.68147657022e-05	False	2186	1.1863
245	64327	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1461
246	6157	Needles_3	4	3.1416	5e-05	4.68147657022e-05	False	2186	1.2034
